order_id,order_status,order_created_at,order_date,payment_at,shipping_deadline,shipping_arranged_at,order_completed_at,payment_lead_time_minutes,processing_time_minutes,completion_time_hours,deadline_margin_minutes,is_cancelled,has_started_fulfillment,cancellation_stage,processing_category,is_late_shipment,is_returned,returned_items,total_items,unique_products,is_deadline_risk,cancellation_category
251001004TP8HH,Selesai,2025-10-01 13:42:00,2025-10-01,2025-10-01 13:43:00,2025-10-02 23:59:00,2025-10-02 18:35:00,2025-10-13 08:45:00,1.0,1733.0,254.16666666666666,324.0,0,1,Not Cancelled,Normal,0,0,0,1,1,0,Not Cancelled
25100100BXNHW4,Selesai,2025-10-01 13:46:00,2025-10-01,2025-10-01 13:46:00,2025-10-02 23:59:00,2025-10-02 18:36:00,2025-10-03 19:41:00,0.0,1730.0,25.083333333333332,323.0,0,1,Not Cancelled,Normal,0,0,0,1,1,0,Not Cancelled
25100100DK286F,Selesai,2025-10-01 13:47:00,2025-10-01,2025-10-01 13:48:00,2025-10-02 23:59:00,2025-10-02 18:36:00,2025-10-11 19:50:00,1.0,1729.0,217.23333333333332,323.0,0,1,Not Cancelled,Normal,0,0,0,1,1,0,Not Cancelled
25100100J431RT,Batal,2025-10-01 13:50:00,2025-10-01,2025-10-01 13:50:00,2025-10-02 23:59:00,,,0.0,,,,1,0,Pre-Fulfillment,Not Processed,0,0,0,1,1,0,Change Address
25100101F6V097,Batal,2025-10-01 14:06:00,2025-10-01,2025-10-01 14:06:00,2025-10-02 23:59:00,,,0.0,,,,1,0,Pre-Fulfillment,Not Processed,0,0,0,1,1,0,Other
25100102A504PJ,Selesai,2025-10-01 14:21:00,2025-10-01,2025-10-01 14:22:00,2025-10-02 23:59:00,2025-10-02 18:36:00,2025-10-03 20:10:00,1.0,1695.0,25.566666666666666,323.0,0,1,Not Cancelled,Normal,0,0,0,1,1,0,Not Cancelled
25100102TJFCQN,Selesai,2025-10-01 14:30:00,2025-10-01,2025-10-01 14:30:00,2025-10-02 23:59:00,2025-10-02 18:36:00,2025-10-09 08:10:00,0.0,1686.0,157.56666666666666,323.0,0,1,Not Cancelled,Normal,0,0,0,1,1,0,Not Cancelled
25100102VQ2K7N,Batal,2025-10-01 14:31:00,2025-10-01,2025-10-01 14:31:00,2025-10-01 17:31:00,,,0.0,,,,1,0,Pre-Fulfillment,Not Processed,0,0,0,3,1,0,Change Order
2510010309H0F4,Selesai,2025-10-01 14:33:00,2025-10-01,2025-10-01 14:34:00,2025-10-02 23:59:00,2025-10-02 18:35:00,2025-10-19 00:16:00,1.0,1682.0,389.68333333333334,324.0,0,1,Not Cancelled,Normal,0,1,1,1,1,0,Not Cancelled
25100103GRYKB2,Selesai,2025-10-01 14:43:00,2025-10-01,2025-10-01 14:43:00,2025-10-01 17:43:00,2025-10-01 15:42:00,2025-10-08 18:46:00,0.0,59.0,171.06666666666666,121.0,0,1,Not Cancelled,Normal,0,0,0,3,1,0,Not Cancelled
